,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
965,46.0,"Prunes, ready to eat, semi -dried  ",46.1,Tesco ready to eat pitted prunes  ,Tesco  ,7.5,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5292 740 1 16:49  ,Plastic  ,Ambient  ,Ambient  
967,46.0,"Prunes, ready to eat, semi -dried  ",46.2,Tesco Whole Foods soft prunes  ,Tesco Whole Foods  ,4.9,27.11.15  ,"Tesco, online delivery  ",Best before Date:  ,,L15294L403 08:09  ,Plastic  ,Ambient  ,Ambient  
969,46.0,"Prunes, ready to eat, semi -dried  ",46.3,Asda good & balanced prunes  ,Asda good & balanced  ,8.8,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,L5 246 H1 62 14:46 ASP1409400 MQE  ,Plastic  ,,Ambient  
971,46.0,"Prunes, ready to eat, semi -dried  ",46.4,Sainsbury’s prunes  ,Sainsbury’s  ,7.6,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5294 770 1 13:12 07614700  W0299 08.14  ,Plastic  ,Ambient  ,Ambient  
973,46.0,"Prunes, ready to eat, semi -dried  ",46.5,"Morrisons, dried pitted prunes  ",Morrisons  ,6.1,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Lot:17435 5246 N9 11092 P06/14 .0212  ,Plastic  ,Ambient  ,Ambient  
975,46.0,"Prunes, ready to eat, semi -dried  ",46.6,Cook with M&S A gen prunes  ,Cook with M&S  ,7.3,09.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,L5258 520 1 09:52 SC6419  ,Plastic  ,Ambient  ,Ambient  
977,46.0,"Prunes, ready to eat, semi -dried  ",46.7,The Co -operative Loved by Us dried prunes  ,The Co -operative Loved by Us  ,4.9,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,15224 86872 GE13900/1/1  ,Plastic  ,Ambient  ,Ambient  
979,46.0,"Prunes, ready to eat, semi -dried  ",46.8,Whitworths juicy prunes  ,Whitworths  ,9.0,30.11.15  ,Sainsbury’s online delivery  ,Best before Date:  ,,L5258 7451  ,Plastic  ,Ambient  ,Ambient  
981,46.0,"Prunes, ready to eat, semi -dried  ",46.9,Whitworths snack on Chilean orchard prunes  ,Whitworths  ,7.9,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5364 7453  ,Plastic  ,Ambient  ,Ambient  
983,46.0,"Prunes, ready to eat, semi -dried  ",46.1,Whitworths snack on Chilean orchard prunes  ,Whitworths  ,7.5,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5364 7453  ,Plastic  ,Ambient  ,Ambient  
