,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
69,12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products,block,
149,12-333,"Cream, fresh, whipping",BJC,Milk and milk products,tub,
151,12-537,"Cheese spread, plain, reduced fat",BL,Milk and milk products,tub,
152,12-346,"Cheese, Cheddar, English",BL,Milk and milk products,block,
154,12-354,"Cheese, Danish blue",BL,Milk and milk products,tub,
155,12-357,"Cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products,,
156,12-360,"Cheese, Mozzarella, fresh",BL,Milk and milk products,,
157,12-549,"Cheese, processed, slices, reduced fat",BL,Milk and milk products,,
158,12-486,"Cheese, White Cheshire",BL,Milk and milk products,,
159,12-507,Cornetto type ice cream cone,BP,Milk and milk products,box,
160,12-542,"Cheesecake, fruit, individual",BR,Milk and milk products,,
161,12-461,"Tarts, custard, individual",BR,Milk and milk products,,
,12-543,"Custard, ready to eat, canned and tetra-pak",BR,Milk and milk products,can,
247,12-398,"Desserts, dairy, chocolate",BR,Milk and milk products,,
317,12-508,"Ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products,,
318,12-509,"Ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products,,
323,,"Jelly, retail",BR,Milk and milk products,,
335,12-373,"Lassi, sweetened",BN,Milk and milk products,bottle,
336,12-390,"Lollies, containing ice-cream",BP,Milk and milk products,,
337,12-389,"Lollies, with real fruit juice",BP,Milk and milk products,,
365,12-512,"Milk, 1% fat, pasteurised",BA,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
366,12-322,"Milk, Channel islands, whole, summer",BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
367,12-307,"Milk, skimmed, pasteurised, average",BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
368,12-313,"Milk, semi-skimmed, pasteurised, average",BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
369,12-596,"Milk, whole, pasteurised, average",BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
370,12-520,"Milk, condensed, whole, sweetened",BAR,Milk and milk products,tin,
371,12-522,"Milk, evaporated, whole",BAR,Milk and milk products,tin,
372,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,Milk and milk products,"carton, 1L",
374,12-401,"Mousse, chocolate, low fat",BR,Milk and milk products,,
435,12-553,"Pudding, rice, canned, low fat",BR,Milk and milk products,tin,
482,,"Raita, retail",BV,Milk and milk products,,
575,12-555,"Yogurt, Greek style, plain",BN,Milk and milk products,,
576,12-375,"Yogurt, whole milk, fruit",BN,Milk and milk products,,
